ICAO,Ident,Operator,Type,CMPG,#$Tag 1,#$Tag 2,Category
06A037,A7AAM,Qatar Amiri Flight,Bombardier BD-700-1A10 Global Express,Gov,Dictator Alert,,Dictator Alert
14F114,RA-61716,Russia State Transport Company,Antonov An-148100EA,Gov,Dictator Alert,Vladimir Putin,Dictator Alert
14F118,RA-61720,Russia State Transport Company,Antonov An-148100EA,Gov,Dictator Alert,Vladimir Putin,Dictator Alert
15770C,RA-96012,Russia State Transport Company,Ilyushin IL-96300,Gov,Dictator Alert,Vladimir Putin,Dictator Alert
157710,RA-96016,Russia State Transport Company,Ilyushin IL-96300,Gov,Dictator Alert,Vladimir Putin,Dictator Alert
157711,RA-96017,Russia State Transport Company,Ilyushin IL-96300,Gov,Dictator Alert,Vladimir Putin,Dictator Alert
157713,RA-96019,Russia State Transport Company,Ilyushin IL-96300PU,Gov,Dictator Alert,Vladimir Putin,Dictator Alert
157714,RA-96020,Russia State Transport Company,Ilyushin IL-96300PU,Gov,Dictator Alert,Vladimir Putin,Dictator Alert
157715,RA-96021,Russia State Transport Company,Ilyushin IL-96300PU,Gov,Dictator Alert,Vladimir Putin,Dictator Alert
155BCF,RA-89039,Russia State Transport Company,Sukhoi Superjet10095B,Gov,Dictator Alert,Vladimir Putin,Dictator Alert
150171,RA-65905,Russia State Transport Company,Tupolev Tu-134A-3,Gov,Dictator Alert,Vladimir Putin,Dictator Alert
150177,RA-65911,Russia State Transport Company,Tupolev Tu-134A-3,Gov,Dictator Alert,Vladimir Putin,Dictator Alert
14FC05,RA-64517,Russia State Transport Company,Tupolev Tu-214PU,Gov,Dictator Alert,Vladimir Putin,Dictator Alert
14FC08,RA-64520,Russia State Transport Company,Tupolev Tu-214PU,Gov,Dictator Alert,Vladimir Putin,Dictator Alert
14FC0A,RA-64522,Russia State Transport Company,Tupolev Tu-214SUS,Gov,Dictator Alert,Vladimir Putin,Dictator Alert
14FC0C,RA-64524,Russia State Transport Company,Tupolev Tu-214SUS,Gov,Dictator Alert,Vladimir Putin,Dictator Alert
1557A0,RA-87968,Russia State Transport Company,Yakovlev Yak-40,Gov,Dictator Alert,Vladimir Putin,Dictator Alert
1557A4,RA-87972,Russia State Transport Company,Yakovlev Yak-40,Gov,Dictator Alert,Vladimir Putin,Dictator Alert
157766,RA-96102,Russian Air Force,Ilyushin IL-96VVIP,Gov,Dictator Alert,Vladimir Putin,Dictator Alert
14FC0B,RA-64523,Russian FSB,Tupolev Tu-214VPU,Gov,Dictator Alert,Vladimir Putin,Dictator Alert
710038,HZ-AKF,Saudi Arabian Airlines,Boeing 777-268,Gov,Dictator Alert,Mohammed bin Salman,Dictator Alert
7101E3,HZ-MF2,Saudi Ministry of Finance,Boeing 737-NG7AJWBBJ,Gov,Dictator Alert,Mohammed bin Salman,Dictator Alert
710100,HZ-MF1,Saudi Ministry of Finance,Boeing 737-NG7FGWBBJ,Gov,Dictator Alert,Mohammed bin Salman,Dictator Alert
71022B,HZ-MF6,Saudi Ministry of Finance,Boeing 737-NG9FGW,Gov,Dictator Alert,Mohammed bin Salman,Dictator Alert
A7CAD8,HZMF9,Saudi Ministry of Finance,Boeing 777-3FXER,Gov,Dictator Alert,,Dictator Alert
710195,HZ-MF7,Saudi Ministry of Finance,Boeing 787-8BBJ,Gov,Dictator Alert,Mohammed bin Salman,Dictator Alert
71019B,HZ-MF8,Saudi Ministry of Finance,Boeing 787-8BBJ,Gov,Dictator Alert,Mohammed bin Salman,Dictator Alert
7101E7,HZ-MF3,Saudi Ministry of Finance,Gulfstream Aerospace G300,Gov,Dictator Alert,Mohammed bin Salman,Dictator Alert
7101E9,HZ-MF4,Saudi Ministry of Finance,Gulfstream Aerospace G300,Gov,Dictator Alert,Mohammed bin Salman,Dictator Alert
7101F0,HZ-MF5,Saudi Ministry of Finance,Gulfstream Aerospace G300,Gov,Dictator Alert,Mohammed bin Salman,Dictator Alert
71002D,HZ-SK1,Saudi Private FLITE Charters,Gulfstream Aerospace G4SP,Gov,Dictator Alert,Mohammed bin Salman,Dictator Alert
0D80A4,YV1129,Servicio Autonomo de Coordinacion de Transporte Aereo,Dassault Falcon 50,Gov,Dictator Alert,,Dictator Alert
896063,A6ESH,Sharjah Rulers Flight,Airbus ACJ319132,Gov,Dictator Alert,,Dictator Alert
896436,A6SHJ,Sharjah Rulers Flight,Airbus ACJ320232XSL,Gov,Dictator Alert,,Dictator Alert
51100D,STPRM,Sudanese Police Air Wing,Antonov An-72100D,Gov,Dictator Alert,,Dictator Alert
600B78,4K-AZ888,SW Business Aviation,Gulfstream Aerospace G450,Gov,Dictator Alert,,Dictator Alert
600806,4K-AI06,SW Business Aviation,Gulfstream Aerospace G550,Gov,Dictator Alert,,Dictator Alert
600BC4,4K-AI88,SW Business Aviation,Gulfstream Aerospace G650,Gov,Dictator Alert,,Dictator Alert
424238,VP-BBF,SW Business Aviation,Gulfstream Aerospace G650,Gov,Dictator Alert,,Dictator Alert
778561,YKAKA,Syrianair,Airbus A320-232,Gov,Dictator Alert,,Dictator Alert
3CE2D2,YV3083,Venezuela Air Force,Dornier D228,Gov,Dictator Alert,,Dictator Alert
3CC011,YV3000,Venezuela Air Force,Dornier228NG,Gov,Dictator Alert,,Dictator Alert
0D8032,207,Venezuelan Air Force,Boeing 737-200,Gov,Dictator Alert,,Dictator Alert
0D8034,YV2165,Venezuelan Air Force,Dassault Falcon 50,Gov,Dictator Alert,,Dictator Alert
424565,VQ-BSK,Worldwide Aircraft Holding Company,Boeing 747-8ZV (BBJ),Gov,Dictator Alert,,Dictator Alert
