ICAO,Ident,Operator,Type,#CMPG,$Tag,#$Tag 2,Category
7101E3,HZMF2,Saudi Ministry of Finance,Boeing 737-NG7AJWBBJ,Gov,Dictator Alert,,Dictator Alert
7101E7,HZMF3,Saudi Ministry of Finance,Gulfstream Aerospace G300,Gov,Dictator Alert,,Dictator Alert
7101E9,HZMF4,Saudi Ministry of Finance,Gulfstream Aerospace G300,Gov,Dictator Alert,,Dictator Alert
7101F0,HZMF5,Saudi Ministry of Finance,Gulfstream Aerospace G300,Gov,Dictator Alert,,Dictator Alert
71022B,HZMF6,Saudi Ministry of Finance,Boeing 737-NG9FGW,Gov,Dictator Alert,,Dictator Alert
710195,HZMF7,Saudi Ministry of Finance,Boeing 787-8BBJ,Gov,Dictator Alert,,Dictator Alert
71019B,HZMF8,Saudi Ministry of Finance,Boeing 787-8BBJ,Gov,Dictator Alert,,Dictator Alert
71002D,HZSK1,Saudi Private FLITE Charters,Gulfstream Aerospace G4SP,Gov,Dictator Alert,,Dictator Alert
4069E7,G-OSRA,2 Excel Aviation,Boeing 727 2S2F,Civ,Specialist,Old,Distinctive
406C5D,G-OSRB,2 Excel Aviation,Boeing 727 2S2F,Civ,Specialist,Old,Distinctive
394A60,F-GSTA,Airbus Transport International,A300 B4-608ST Beluga,Civ,Absolute Unit,How Does It Fly,Distinctive
394A62,F-GSTC,Airbus Transport International,A300 B4-608ST Beluga,Civ,Absolute Unit,How Does It Fly,Distinctive
394A63,F-GSTD,Airbus Transport International,A300 B4-608ST Beluga,Civ,Absolute Unit,How Does It Fly,Distinctive
394A65,F-GSTF,Airbus Transport International,A300 B4-608ST Beluga,Civ,Absolute Unit,How Does It Fly,Distinctive
395D68,F-GXLI,Airbus Transport International,Airbus A330 743L,Civ,Absolute Unit,How Does It Fly,Distinctive
3E2E8A,D-IIVA,Airgo Flugservice,Piaggio P-180 Avanti,Civ,How Does It Fly,Shiny,Distinctive
3E3AB8,D-INKY,Airgo Flugservice,Piaggio P-180 Avanti II,Civ,How Does It Fly,Shiny,Distinctive
50801C,UR-82008,Antonov Airlines,Antonov An-124 100M-150,Civ,Absolute Unit,Vashe Zdorovye,Distinctive
508003,UR-82029,Antonov Airlines,Antonov An-124 100,Civ,Absolute Unit,Vashe Zdorovye,Distinctive
508035,UR-82060,Antonov Airlines,Antonov An-225 Mriya,Civ,Absolute Unit,Cool,Distinctive
508179,UR-CJN,Cavok Air,Antonov An-12 TB,Civ,Ere Me Now,Old,Distinctive
50822D,UR-CNN,Cavok Air,Antonov An-12 B,Civ,Ere Me Now,Old,Distinctive
43C925,XE688,Hawker Hunter Aviation,Hunter T.72,Mil,Old,Fighter,Distinctive
403AF7,G-BWGF,Horizon Flight Training,British Aircraft Corporation Jet Provost T.5A,Civ,Old,Flying Rust Bucket,Distinctive
A4B50C,N402LC,Lynden Air Cargo,Lockheed C-130H Hercules,Civ,Cargo,Brrrrrrrrrrrrrrr,Distinctive
406C65,G-JWMA ,Martin Baker Aircraft,Gloster Meteor T7,Civ,Old,Jump Johnny Jump,Distinctive
50815D,UR-CAJ,Meridian,Antonov An-12 BK,Civ,Ere Me Now,Vashe Zdorovye,Distinctive
AA0DB8,N747NA,NASA,Boeing 747 SP21,Mil,Nasa,I Thought You Was A Pilot Not An Astronaut,Distinctive
AAF954,N806NA,NASA,Lockheed ER2,Gov,Nasa,I Thought You Was A Pilot Not An Astronaut,Distinctive
AB0479,N809NA,NASA,Lockheed ER2,Gov,Nasa,I Thought You Was A Pilot Not An Astronaut,Distinctive
AB6FD1,N836NA,NASA,McDonnell Douglas NF-15B Eagle,Gov,Nasa,I Thought You Was A Pilot Not An Astronaut,Distinctive
ACD5A1,N926NA,NASA,General Dynamics WB-57F Canberra,Gov,Nasa,All About That Wingspan,Distinctive
ACD958,N927NA,NASA,General Dynamics WB-57F Canberra,Gov,Nasa,All About That Wingspan,Distinctive
ACDD0F,N928NA,NASA,General Dynamics WB-57F Canberra,Gov,Nasa,All About That Wingspan,Distinctive
AD120C,N941NA,NASA,Boeing 377-SGT-201,Gov,Nasa,I Thought You Was A Pilot Not An Astronaut,Distinctive
4049FA,G-CCJK,Private,Aerostar Yak-52,Civ,Vashe Zdorovye,Old,Distinctive
A947B9,N69745,Private,Stinson Reliant V-77,Civ,You Came Here In That Thing,Old,Distinctive
4069C9,G-YAKJ,Private Owner,Yakovlev Yak-18T,Civ,You Came Here In That Thing,Vashe Zdorovye,Distinctive
510099,EW-450TR,Rada Airlines,Ilyushin IL-62 MGR,Civ,Cargo,Vashe Zdorovye,Distinctive
5100C7,EW-484TI,Ruby Star Airways,Antonov An-12 BP,Civ,Ere Me Now,Vashe Zdorovye,Distinctive
AA9992,N782SP,Samaritans Purse,Douglas DC-8-60/70,Civ,Jesus He Knows Me,Old,Distinctive
ADFDF8,828000,US Govt Air Force 1,Boeing VC25A,Gov,Ooh Get You,Government,Distinctive
ADFDF9,929000,US Govt Air Force 1,Boeing VC25A,Gov,Ooh Get You,Government,Distinctive
15407C,RA-82044,Volga-Dnepr Airlines,Antonov An-124 100,Civ,Absolute Unit,Vashe Zdorovye,Distinctive
15407F,RA-82047,Volga-Dnepr Airlines,Antonov An-124 100,Civ,Absolute Unit,Vashe Zdorovye,Distinctive
5083A2,UR-CQD,Vulkan Air,Antonov An-26 B,Civ,Vashe Zdorovye,Vashe Zdorovye,Distinctive
3E120D,D-HYAN,ADAC Luftrettung,Airbus Helicopters H145,Civ,Big Bird,,Dogs with Jobs
7C39D5,VH-LPJ,Air Affairs Australia,Gates Learjet 35,Gov,Fire,Eye In The Sky,Dogs with Jobs
A3301A,N304VS,Calspan Corporation,Gates Learjet 25G,Civ,Specialist,Flying Brick,Dogs with Jobs
400978,G-FPLD,Cobham Flight Inspection,Beechcraft King Air B200,Civ,Specialist,Measuring Stick,Dogs with Jobs
3CCE70,D-CFME,Flight Calibration Services,Beechcraft 350 Super King Air,Civ,Measuring Stick,,Dogs with Jobs
4071F8,G-DVOR,Flight Calibration Services,Diamond Aircraft DA62,Civ,Specialist,Measuring Stick,Dogs with Jobs
AA0308,N744ST,Global Supertanker Service,Boeing 747 Supertanker,Civ,Fire,Hot Hot Hot Hot,Dogs with Jobs
